text,intent
"Financial aid at Herald College",Scholarship_info
"Scholarship opportunities at Apex",Scholarship_info
"Does Prime College offer scholarship?",Scholarship_info
"Scholarship at KUSOM",Scholarship_info
"Financial aid at WRC",Scholarship_info
"Placement at Pulchowk Campus",Placement_info
"Job placement at Sagarmatha College",Placement_info
"Career opportunities after NCIT",Placement_info
"Placement record at Kantipur",Placement_info
"Job placement at Thapathali",Placement_info
"Career prospects at ACE College",Placement_info
"Placement statistics at Himalaya",Placement_info
"Job opportunities after NEC",Placement_info
"Placement at Islington College",Placement_info
"Career placement at Softwarica",Placement_info
"Job placement at Herald College",Placement_info
"Placement record at Apex",Placement_info
"Career opportunities at Prime",Placement_info
"Placement at KUSOM",Placement_info
"Job placement at WRC",Placement_info
"Internship at Pulchowk Campus",Internship_opportunities
"Internship opportunities at Sagarmatha",Internship_opportunities
"Does NCIT provide internship?",Internship_opportunities
"Internship program at Kantipur",Internship_opportunities
"Internship at Thapathali Campus",Internship_opportunities
"Internship opportunities at ACE",Internship_opportunities
"Does Himalaya offer internship?",Internship_opportunities
"Internship program at NEC",Internship_opportunities
"Internship at Islington College",Internship_opportunities
"Internship opportunities at Softwarica",Internship_opportunities
"Does Herald provide internship?",Internship_opportunities
"Internship program at Apex",Internship_opportunities
"Internship at Prime College",Internship_opportunities
"Internship opportunities at KUSOM",Internship_opportunities
"Does WRC offer internship?",Internship_opportunities
"Faculty at Pulchowk Campus",Faculty_info
"Teachers at Sagarmatha College",Faculty_info
"Faculty members at NCIT",Faculty_info
"Professors at Kantipur College",Faculty_info
"Faculty at Thapathali Campus",Faculty_info
"Teachers at ACE College",Faculty_info
"Faculty information at Himalaya",Faculty_info
"Professors at NEC",Faculty_info
"Faculty at Islington College",Faculty_info
"Teachers at Softwarica",Faculty_info
"Faculty members at Herald",Faculty_info
"Professors at Apex College",Faculty_info
"Faculty at Prime College",Faculty_info
"Teachers at KUSOM",Faculty_info
"Faculty information at WRC",Faculty_info
"Eligibility for computer engineering",Eligibility_criteria
"Requirements for civil engineering admission",Eligibility_criteria
"Eligibility criteria at Pulchowk",Eligibility_criteria
"What are requirements for electrical?",Eligibility_criteria
"Eligibility for mechanical engineering",Eligibility_criteria
"Requirements for architecture admission",Eligibility_criteria
"Eligibility criteria at IOE",Eligibility_criteria
"What are requirements for electronics?",Eligibility_criteria
"Eligibility for software engineering",Eligibility_criteria
"Requirements for BBA admission",Eligibility_criteria
"MBA eligibility criteria",Eligibility_criteria
"Eligibility at Sagarmatha College",Eligibility_criteria
"Requirements for NCIT admission",Eligibility_criteria
"What are eligibility criteria at Kantipur?",Eligibility_criteria
"Requirements at Thapathali",Eligibility_criteria
"Duration of computer engineering course",Course_duration
"How long is civil engineering program?",Course_duration
"Course duration at Pulchowk",Course_duration
"How many years for electrical?",Course_duration
"Duration of mechanical engineering",Course_duration
"How long is architecture program?",Course_duration
"Course duration at IOE",Course_duration
"How many years for electronics?",Course_duration
"Duration of software engineering",Course_duration
"How long is BBA program?",Course_duration
"MBA course duration",Course_duration
"Duration of BSc CSIT",Course_duration
"How many years for BIM?",Course_duration
"Course duration at BCA",Course_duration
"How long is the program?",Course_duration
"Rating of Pulchowk Campus",Course_rating
"Review of Sagarmatha College",Course_rating
"Rating of NCIT",Course_rating
"Student reviews of Kantipur",Course_rating
"Rating of Thapathali Campus",Course_rating
"Reviews of ACE College",Course_rating
"Rating of Himalaya College",Course_rating
"Student feedback at NEC",Course_rating
"Rating of Islington College",Course_rating
"Reviews of Softwarica",Course_rating
"Rating of Herald College",Course_rating
"Student reviews of Apex",Course_rating
"Rating of Prime College",Course_rating
"Reviews of KUSOM",Course_rating
"Rating of WRC Pokhara",Course_rating
"Tell me about Pulchowk Campus",College_basic_info
"Information about Sagarmatha College",College_basic_info
"Details about NCIT",College_basic_info
"Tell me about Kantipur College",College_basic_info
"Information about Thapathali Campus",College_basic_info
"Details about ACE College",College_basic_info
"Tell me about Himalaya College",College_basic_info
"Information about NEC",College_basic_info
"Details about Islington College",College_basic_info
"Tell me about Softwarica",College_basic_info
"Information about Herald College",College_basic_info
"Details about Apex College",College_basic_info
"Tell me about Prime College",College_basic_info
"Information about KUSOM",College_basic_info
"Details about WRC Pokhara",College_basic_info
"Computer engineering department at Pulchowk",Department_info
"Civil department at Sagarmatha",Department_info
"Electronics department at NCIT",Department_info
"Electrical department at Kantipur",Department_info
"Mechanical department at Thapathali",Department_info
"Architecture department at ACE",Department_info
"IT department at Himalaya College",Department_info
"Computer department at NEC",Department_info
"Software department at Islington",Department_info
"CS department at Softwarica",Department_info
"Management department at Herald",Department_info
"BBA department at Apex",Department_info
"MBA department at Prime",Department_info
"Business department at KUSOM",Department_info
"Engineering department at WRC",Department_info
"Head of computer department at Pulchowk",Department_head
"Civil department head at Sagarmatha",Department_head
"Head of electronics at NCIT",Department_head
"Electrical department head at Kantipur",Department_head
"Head of mechanical at Thapathali",Department_head
"Architecture department head at ACE",Department_head
"IT department head at Himalaya",Department_head
"Head of computer at NEC",Department_head
"Software department head at Islington",Department_head
"CS department head at Softwarica",Department_head
"Management department head at Herald",Department_head
"BBA department head at Apex",Department_head
"MBA department head at Prime",Department_head
"Business department head at KUSOM",Department_head
"Engineering department head at WRC",Department_head
"Tell me about computer engineering course",Course_specific_info
"Details of civil engineering program",Course_specific_info
"Information about electrical engineering",Course_specific_info
"Tell me about mechanical engineering",Course_specific_info
"Details of architecture program",Course_specific_info
"Information about electronics engineering",Course_specific_info
"Tell me about software engineering",Course_specific_info
"Details of BBA program",Course_specific_info
"Information about MBA course",Course_specific_info
"Tell me about BSc CSIT",Course_specific_info
"Details of BIM program",Course_specific_info
"Information about BCA course",Course_specific_info
"Tell me about IT program",Course_specific_info
"Details of aerospace engineering",Course_specific_info
"Information about biomedical engineering",Course_specific_info
"Colleges near Kathmandu",Nearest
"Engineering colleges near me",Nearest
"Nearest college to Lalitpur",Nearest
"Colleges near Bhaktapur",Nearest
"Nearest engineering college in Pokhara",Nearest
"Colleges near Chitwan",Nearest
"Nearest college to Butwal",Nearest
"Engineering colleges near Biratnagar",Nearest
"Colleges near Dharan",Nearest
"Nearest college to Hetauda",Nearest
"Engineering colleges near Birgunj",Nearest
"Colleges near Nepalgunj",Nearest
"Nearest college to Dhangadhi",Nearest
"Engineering colleges near Itahari",Nearest
"Colleges near Bharatpur",Nearest
"Compare computer and civil engineering",Compare_courses
"Difference between BBA and BIM",Compare_courses
"Compare electrical and electronics",Compare_courses
"Difference between BSc CSIT and BCA",Compare_courses
"Compare mechanical and aerospace",Compare_courses
"Difference between software and IT",Compare_courses
"Compare Pulchowk and Thapathali",Compare_courses
"Difference between IOE and KU",Compare_courses
"Compare TU and Pokhara University",Compare_courses
"Difference between private and government",Compare_courses
"Compare Sagarmatha and Kantipur",Compare_courses
"Difference between NCIT and NEC",Compare_courses
"Compare architecture and civil",Compare_courses
"Difference between MBA and MBS",Compare_courses
"Compare engineering and management",Compare_courses
