text,sub_intent
Criteria for engineering admission,eligibility
Am I eligible for NCIT,eligibility
Requirements for IOE entrance,eligibility
Eligibility for scholarship,eligibility
Minimum marks for engineering,eligibility
Age limit for engineering admission,eligibility
Eligibility for lateral entry,eligibility
Who can apply for architecture,eligibility
Requirements for MBA admission,eligibility
Eligibility criteria for BBA,eligibility
Can PCL biology apply for engineering,eligibility
Gap year eligibility for admission,eligibility
Eligibility for foreign students,eligibility
Minimum percentage for admission,eligibility
Duration of computer engineering,duration
How many years for civil engineering,duration
Semester system at IOE,duration
How long is architecture course,duration
Duration of MBA at KUSOM,duration
Semester duration at NCIT,duration
How many semesters in engineering,duration
Duration of BBA course,duration
Time to complete mechanical engineering,duration
How long is the course at Pulchowk,duration
Duration of internship period,duration
Course completion time at private colleges,duration
How many years for electronics,duration
Semester length at engineering colleges,duration
Duration of final year project,duration
How many seats at Pulchowk,seats
Seat capacity for computer engineering,seats
Available seats at NCIT,seats
Intake at IOE colleges,seats
Seats for civil engineering,seats
How many students at Sagarmatha,seats
Seat limit for architecture,seats
Vacancy at private colleges,seats
Seats at Thapathali Campus,seats
How many seats for mechanical,seats
Student intake at NEC,seats
Available seats at Himalaya,seats
Seat availability for electronics,seats
How many students per batch,seats
Seats reserved for quota,seats
Faculty at Pulchowk Campus,faculty
Teachers at NCIT,faculty
Quality of faculty at IOE,faculty
Professor list at Sagarmatha,faculty
Faculty qualification at Thapathali,faculty
Best teachers at engineering colleges,faculty
Faculty to student ratio at NCIT,faculty
Visiting faculty at colleges,faculty
PhD faculty at Pulchowk,faculty
Teaching staff at NEC,faculty
Faculty members at Himalaya,faculty
Experienced teachers at IOE,faculty
Faculty information at Khwopa,faculty
Guest lecturers at colleges,faculty
Faculty reviews at engineering colleges,faculty
HOD of computer department at Pulchowk,department
Department head at NCIT,department
Dean of engineering at IOE,department
Department information at Sagarmatha,department
Civil department at Thapathali,department
Electronics department at colleges,department
Department structure at NCIT,department
Mechanical department at Khwopa,department
Department facilities at IOE,department
Architecture department at Pulchowk,department
IT department at NEC,department
Department labs at colleges,department
Software department at Himalaya,department
Department research at Pulchowk,department
Department activities at colleges,department
Contact number of Pulchowk,contact
Email of NCIT,contact
How to contact Sagarmatha,contact
Phone number of admission office,contact
Contact details of Thapathali,contact
Email address of IOE,contact
How to reach NEC office,contact
Contact for admission inquiry,contact
Phone of Himalaya College,contact
Official email of colleges,contact
How to contact hostel office,contact
Admission helpline number,contact
Contact of exam department,contact
Email for scholarship inquiry,contact
How to call engineering colleges,contact
Tell me about Pulchowk Campus,general_info
Information about NCIT,general_info
What is Sagarmatha Engineering,general_info
About Thapathali Campus,general_info
Tell me about IOE colleges,general_info
Information about NEC,general_info
What is Himalaya College,general_info
About engineering colleges in Nepal,general_info
Tell me about private colleges,general_info
What are affiliated colleges,general_info
Information about WRC Pokhara,general_info
About Khwopa Engineering,general_info
Tell me about government colleges,general_info
What is IOE affiliation,general_info
About computer engineering program,general_info
